estado,Marque todas las plataformas,¿Cuál es la naturaleza legal,¿Cuáles son las temáticas,¿Cuáles son las fuentes de ingresos,¿El proyecto u organización periodística que refiere ha enfrentado
Portuguesa,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias, TV (señal abierta o cable), TV transmitida vía web","Organización sin fines de lucro (asociación civil, fundación, ONG)","Economía y desarrollo local, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Donaciones de la audiencia, membresías o suscripciones","Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Portuguesa,"Cuenta en Instagram, Cuenta en Youtube, TV (señal abierta o cable)","Organización sin fines de lucro (asociación civil, fundación, ONG)","Gobierno y política local, Medio ambiente y sostenibilidad, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Aportes monetarios de los fundadores y/o el equipo,Prefiere no responder
Portuguesa,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok",Privado,"Arte y cultura local, Economía y desarrollo local, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,"Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Portuguesa,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en Youtube, Portal web de noticias",Privado,"Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Portuguesa,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos), Tecnología","Aportes monetarios de los fundadores y/o el equipo, Contenidos puntuales patrocinados, Donaciones de la audiencia, membresías o suscripciones, Publicidad, Venta de productos y servicios","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Portuguesa,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Portal web de noticias, Radio (AM o FM)",Privado,"Deporte local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,Restricciones o impedimentos externos para cubrir ciertos temas (censura directa)
Portuguesa,"Cuenta en Instagram, Radio (AM o FM)",Privado,"Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,"Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Portuguesa,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias, TV (señal abierta o cable), TV transmitida vía web",Privado,"Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Portuguesa,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,Restricciones o impedimentos externos para cubrir ciertos temas (censura directa)
Portuguesa,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Portal web de noticias",Privado,"Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana",Venta de productos y servicios,"Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Portuguesa,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en Youtube, TV (señal abierta o cable)",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Portuguesa,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en TikTok, Portal web de noticias",Proyecto u organización sin figura jurídica,"Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Eventos, Publicidad",No ha enfrentado este tipo de situaciones
Portuguesa,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periodismo cara a cara, Portal web de noticias","Organización sin fines de lucro (asociación civil, fundación, ONG)","Economía y desarrollo local, Investigación y vigilancia al poder, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Subvenciones o financiamiento internacional, Publicidad",Restricciones o impedimentos externos para cubrir ciertos temas (censura directa)
Portuguesa,"Cuenta en Instagram, Cuenta en Youtube, Radio (AM o FM)",Emprendimiento profesional ,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Portuguesa,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periodismo cara a cara, Podcast, Portal web de noticias",Privado,"Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Temas sociales locales (como salud, educación, transporte, servicios públicos), Investigación académica y científica ",Publicidad,Prefiere no responder
Portuguesa,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Podcast, Portal web de noticias, TV (señal abierta o cable), TV transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Contenidos puntuales patrocinados, Publicidad",Restricciones o impedimentos externos para cubrir ciertos temas (censura directa)
Portuguesa,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periodismo cara a cara, Podcast, Portal web de noticias, Radio (AM o FM), Radio transmitida vía web",Comunitario,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Campañas de financiamiento colectivo (crowdfunding), Contenidos puntuales patrocinados, Donaciones de empresas, Eventos, Publicidad, Talleres / Capacitaciones",No ha enfrentado este tipo de situaciones
Portuguesa,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias",Proyecto u organización sin figura jurídica,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Contenidos puntuales patrocinados,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Portuguesa,"Cuenta en Instagram, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias, Radio (AM o FM), Radio transmitida vía web",Privado,"Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Contenidos puntuales patrocinados, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Portuguesa,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periódico (impreso), Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Portuguesa,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias",No se maneja esta información,"Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No se maneja esta información,No se maneja esta información
Sucre,"Cuenta en Instagram, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias, Radio (AM o FM), Radio transmitida vía web",Privado,"Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Contenidos puntuales patrocinados, Publicidad","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura)"
Sucre,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, TV (señal abierta o cable)",Privado,"Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad","Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Sucre,"Cuenta en Instagram, Cuenta en TikTok, Radio (AM o FM)",Privado,"Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Publicidad, Venta de productos y servicios, No sabe / Prefiere no responder","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Sucre,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,"Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Sucre,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook",No sabe / Prefiere no responder,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad","Aportes monetarios de los fundadores y/o el equipo, Contenidos puntuales patrocinados, Eventos, Publicidad",Prefiere no responder
Sucre,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X",Privado,"Arte y cultura local, Deporte local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Contenidos puntuales patrocinados, Eventos, Publicidad","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Sucre,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Cuenta en Youtube, Portal web de noticias",Privado,"Economía y desarrollo local, Gobierno y política local, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Publicidad, Subvenciones o financiamiento internacional, Venta de productos y servicios",No ha enfrentado este tipo de situaciones
Sucre,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Portal web de noticias",Proyecto u organización sin figura jurídica,"Economía y desarrollo local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Subvenciones o financiamiento internacional,"Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Sucre,"Cuenta en Instagram, Portal web de noticias, Radio (AM o FM)","Organización sin fines de lucro (asociación civil, fundación, ONG)","Temas sociales locales (como salud, educación, transporte, servicios públicos)",Fondos gubernamentales,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Sucre,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Portal web de noticias",Privado,"Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Sucre,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Cuenta en Youtube, Periódico (impreso), Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Sucre,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias",No se maneja esta información,"Deporte local, Economía y desarrollo local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No se maneja esta información,No se maneja esta información
Sucre,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube",No se maneja esta información,"Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No se maneja esta información,No se maneja esta información
Sucre,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en Youtube, TV transmitida vía web",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Táchira,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Publicidad, Subvenciones o financiamiento internacional","Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Táchira,"Cuenta en Instagram, Cuenta en Facebook",Proyecto u organización sin figura jurídica,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos), ","Aportes monetarios de los fundadores y/o el equipo, Contenidos puntuales patrocinados",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Táchira,Cuenta en Instagram,Proyecto u organización sin figura jurídica,"Arte y cultura local, Deporte local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Aportes monetarios de los fundadores y/o el equipo,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Táchira,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periódico (impreso), Portal web de noticias, Radio transmitida vía web",Privado,"Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos), ","Contenidos puntuales patrocinados, Publicidad, Venta de productos y servicios, ",No ha enfrentado este tipo de situaciones
Táchira,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Periodismo cara a cara, Portal web de noticias, Radio (AM o FM)",Proyecto u organización sin figura jurídica,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Contenidos puntuales patrocinados, Publicidad","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura)"
Táchira,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok",Proyecto u organización sin figura jurídica,"Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No hay ninguna fuente de ingresos,"Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Táchira,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en Youtube, Radio (AM o FM)",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Táchira,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en TikTok, Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Táchira,"Cuenta en Instagram, Cuenta en Facebook",Proyecto u organización sin figura jurídica,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,"Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Táchira,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Youtube",Proyecto u organización sin figura jurídica,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,"Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Táchira,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Radio transmitida vía web",Comunitario,"Arte y cultura local, Deporte local, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Publicidad",Prefiere no responder
Táchira,Cuenta en Instagram,Privado,"Arte y cultura local, Deporte local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No hay ninguna fuente de ingresos,No ha enfrentado este tipo de situaciones
Táchira,Cuenta en Instagram,Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No hay ninguna fuente de ingresos,"Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Táchira,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,Prefiere no responder
Táchira,"Cuenta en Instagram, Cuenta en TikTok, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Eventos, Publicidad","Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Táchira,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en TikTok, Cuenta en Youtube",Privado,Deporte local,Publicidad,"Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura)"
Táchira,"Cuenta en Instagram, Cuenta en Facebook",Proyecto u organización sin figura jurídica,"Arte y cultura local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos), eventos religiosos","Aportes monetarios de los fundadores y/o el equipo, Publicidad",No ha enfrentado este tipo de situaciones
Táchira,"Cuenta en Instagram, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, TV (señal abierta o cable), TV transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,"Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Táchira,"Cuenta en Instagram, Cuenta en Youtube",Privado,"Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Táchira,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X",Proyecto u organización sin figura jurídica,"Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No hay ninguna fuente de ingresos,Restricciones o impedimentos externos para cubrir ciertos temas (censura directa)
Táchira,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en X, Radio (AM o FM)","Organización sin fines de lucro (asociación civil, fundación, ONG)","Arte y cultura local, Deporte local, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Táchira,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Periódico (impreso), Portal web de noticias",Privado,"Arte y cultura local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Temas sociales locales (como salud, educación, transporte, servicios públicos), Religión ","Donaciones de la audiencia, membresías o suscripciones, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Táchira,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Cuenta en Youtube, Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No se maneja esta información,No se maneja esta información
Táchira,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periodismo cara a cara, Portal web de noticias","Organización sin fines de lucro (asociación civil, fundación, ONG)","Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Subvenciones o financiamiento internacional, Publicidad",No se maneja esta información
Táchira,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No se maneja esta información,No se maneja esta información
Táchira,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Portal web de noticias",Proyecto u organización sin figura jurídica,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Subvenciones o financiamiento internacional,No se maneja esta información
Trujillo,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Eventos, Publicidad, Talleres / Capacitaciones","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Trujillo,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Radio (AM o FM), Radio transmitida vía web","Organización sin fines de lucro (asociación civil, fundación, ONG)","Arte y cultura local, Deporte local, Economía y desarrollo local, Medio ambiente y sostenibilidad",Publicidad,"Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
